351	X	Y	Z
           111               0.0000000               5.0000000              -7.5000000
           112               0.0000000               5.0000000              -6.2500000
           113               0.0000000               5.0000000              -5.0000000
           114               0.0000000               5.0000000              -3.7500000
           115               0.0000000               5.0000000              -2.5000000
           116               0.0000000               5.0000000              -1.2500000
           117               0.0000000               5.0000000               0.0000000
           118               1.2500000               5.0000000             -10.0000000
           119               1.2500000               5.0000000              -8.7500000
           120               1.2500000               5.0000000              -7.5000000
           121               1.2500000               5.0000000              -6.2500000
           122               1.2500000               5.0000000              -5.0000000
           123               1.2500000               5.0000000              -3.7500000
           124               1.2500000               5.0000000              -2.5000000
           125               1.2500000               5.0000000              -1.2500000
           126               1.2500000               5.0000000               0.0000000
           127               2.5000000               5.0000000             -10.0000000
           128               2.5000000               5.0000000              -8.7500000
           129               2.5000000               5.0000000              -7.5000000
           130               2.5000000               5.0000000              -6.2500000
           131               2.5000000               5.0000000              -5.0000000
           132               2.5000000               5.0000000              -3.7500000
           133               2.5000000               5.0000000              -2.5000000
           134               2.5000000               5.0000000              -1.2500000
           135               2.5000000               5.0000000               0.0000000
           136               3.7500000               5.0000000             -10.0000000
           137               3.7500000               5.0000000              -8.7500000
           138               3.7500000               5.0000000              -7.5000000
           139               3.7500000               5.0000000              -6.2500000
           140               3.7500000               5.0000000              -5.0000000
           141               3.7500000               5.0000000              -3.7500000
           142               3.7500000               5.0000000              -2.5000000
           143               3.7500000               5.0000000              -1.2500000
           144               3.7500000               5.0000000               0.0000000
           145               5.0000000               5.0000000             -10.0000000
           146               5.0000000               5.0000000              -8.7500000
           147               5.0000000               5.0000000              -7.5000000
           148               5.0000000               5.0000000              -6.2500000
           149               5.0000000               5.0000000              -5.0000000
           150               5.0000000               5.0000000              -3.7500000
           151               5.0000000               5.0000000              -2.5000000
           152               5.0000000               5.0000000              -1.2500000
           153               5.0000000               5.0000000               0.0000000
           154               6.2500000               5.0000000             -10.0000000
           155               6.2500000               5.0000000              -8.7500000
           156               6.2500000               5.0000000              -7.5000000
           157               6.2500000               5.0000000              -6.2500000
           158               6.2500000               5.0000000              -5.0000000
           159               6.2500000               5.0000000              -3.7500000
           160               6.2500000               5.0000000              -2.5000000
           161               6.2500000               5.0000000              -1.2500000
           162               6.2500000               5.0000000               0.0000000
           163               7.5000000               5.0000000             -10.0000000
           164               7.5000000               5.0000000              -8.7500000
           165               7.5000000               5.0000000              -7.5000000
           166               7.5000000               5.0000000              -6.2500000
           167               7.5000000               5.0000000              -5.0000000
           168               7.5000000               5.0000000              -3.7500000
           169               7.5000000               5.0000000              -2.5000000
           170               7.5000000               5.0000000              -1.2500000
           171               7.5000000               5.0000000               0.0000000
           172               8.7500000               5.0000000             -10.0000000
           173               8.7500000               5.0000000              -8.7500000
           174               8.7500000               5.0000000              -7.5000000
           175               8.7500000               5.0000000              -6.2500000
           176               8.7500000               5.0000000              -5.0000000
           177               8.7500000               5.0000000              -3.7500000
           178               8.7500000               5.0000000              -2.5000000
           179               8.7500000               5.0000000              -1.2500000
           180               8.7500000               5.0000000               0.0000000
           181              10.0000000               5.0000000             -10.0000000
           182              10.0000000               5.0000000              -8.7500000
           183              10.0000000               5.0000000              -7.5000000
           184              10.0000000               5.0000000              -6.2500000
           185              10.0000000               5.0000000              -5.0000000
           186              10.0000000               5.0000000              -3.7500000
           187              10.0000000               5.0000000              -2.5000000
           188              10.0000000               5.0000000              -1.2500000
           189              10.0000000               5.0000000               0.0000000
           190               0.0000000              -5.0000000             -10.0000000
           191               0.0000000              -5.0000000              -8.7500000
           192               0.0000000              -5.0000000              -7.5000000
           193               0.0000000              -5.0000000              -6.2500000
           194               0.0000000              -5.0000000              -5.0000000
           195               0.0000000              -5.0000000              -3.7500000
           196               0.0000000              -5.0000000              -2.5000000
           197               0.0000000              -5.0000000              -1.2500000
           198               0.0000000              -5.0000000               0.0000000
           199               0.0000000              -3.7500000             -10.0000000
           200               0.0000000              -3.7500000              -8.7500000
           201               0.0000000              -3.7500000              -7.5000000
           202               0.0000000              -3.7500000              -6.2500000
           203               0.0000000              -3.7500000              -5.0000000
           204               0.0000000              -3.7500000              -3.7500000
           205               0.0000000              -3.7500000              -2.5000000
           206               0.0000000              -3.7500000              -1.2500000
           207               0.0000000              -3.7500000               0.0000000
           208               0.0000000              -2.5000000             -10.0000000
           209               0.0000000              -2.5000000              -8.7500000
           210               0.0000000              -2.5000000              -7.5000000
           211               0.0000000              -2.5000000              -6.2500000
           212               0.0000000              -2.5000000              -5.0000000
           213               0.0000000              -2.5000000              -3.7500000
           214               0.0000000              -2.5000000              -2.5000000
           215               0.0000000              -2.5000000              -1.2500000
           216               0.0000000              -2.5000000               0.0000000
           217               0.0000000              -1.2500000             -10.0000000
           218               0.0000000              -1.2500000              -8.7500000
           219               0.0000000              -1.2500000              -7.5000000
           220               0.0000000              -1.2500000              -6.2500000
           221               0.0000000              -1.2500000              -5.0000000
           222               0.0000000              -1.2500000              -3.7500000
           223               0.0000000              -1.2500000              -2.5000000
           224               0.0000000              -1.2500000              -1.2500000
           225               0.0000000              -1.2500000               0.0000000
           226               0.0000000               0.0000000             -10.0000000
           227               0.0000000               0.0000000              -8.7500000
           228               0.0000000               0.0000000              -7.5000000
           229               0.0000000               0.0000000              -6.2500000
           230               0.0000000               0.0000000              -5.0000000
           231               0.0000000               0.0000000              -3.7500000
           232               0.0000000               0.0000000              -2.5000000
           233               0.0000000               0.0000000              -1.2500000
           234               0.0000000               0.0000000               0.0000000
           235               0.0000000               1.2500000             -10.0000000
           236               0.0000000               1.2500000              -8.7500000
           237               0.0000000               1.2500000              -7.5000000
           238               0.0000000               1.2500000              -6.2500000
           239               0.0000000               1.2500000              -5.0000000
           240               0.0000000               1.2500000              -3.7500000
           241               0.0000000               1.2500000              -2.5000000
           242               0.0000000               1.2500000              -1.2500000
           243               0.0000000               1.2500000               0.0000000
           244               0.0000000               2.5000000             -10.0000000
           245               0.0000000               2.5000000              -8.7500000
           246               0.0000000               2.5000000              -7.5000000
           247               0.0000000               2.5000000              -6.2500000
           248               0.0000000               2.5000000              -5.0000000
           249               0.0000000               2.5000000              -3.7500000
           250               0.0000000               2.5000000              -2.5000000
           251               0.0000000               2.5000000              -1.2500000
           252               0.0000000               2.5000000               0.0000000
           253               0.0000000               3.7500000             -10.0000000
           254               0.0000000               3.7500000              -8.7500000
           255               0.0000000               3.7500000              -7.5000000
           256               0.0000000               3.7500000              -6.2500000
           257               0.0000000               3.7500000              -5.0000000
           258               0.0000000               3.7500000              -3.7500000
           259               0.0000000               3.7500000              -2.5000000
           260               0.0000000               3.7500000              -1.2500000
           261               0.0000000               3.7500000               0.0000000
           262               0.0000000               5.0000000             -10.0000000
           263               0.0000000               5.0000000              -8.7500000
           264               0.0000000               5.0000000              -7.5000000
           265               0.0000000               5.0000000              -6.2500000
           266               0.0000000               5.0000000              -5.0000000
           267               0.0000000               5.0000000              -3.7500000
           268               0.0000000               5.0000000              -2.5000000
           269               0.0000000               5.0000000              -1.2500000
           270               0.0000000               5.0000000               0.0000000
           271               0.0000000               5.0000000             -10.0000000
           272               1.2500000               5.0000000             -10.0000000
           273               2.5000000               5.0000000             -10.0000000
           274               3.7500000               5.0000000             -10.0000000
           275               5.0000000               5.0000000             -10.0000000
           276               6.2500000               5.0000000             -10.0000000
           277               7.5000000               5.0000000             -10.0000000
           278               8.7500000               5.0000000             -10.0000000
           279              10.0000000               5.0000000             -10.0000000
           280               0.0000000               3.7500000             -10.0000000
           281               1.2500000               3.9062500             -10.0000000
           282               2.5000000               4.0625000             -10.0000000
           283               3.7500000               4.2187500             -10.0000000
           284               5.0000000               4.3750000             -10.0000000
           285               6.2500000               4.5312500             -10.0000000
           286               7.5000000               4.6875000             -10.0000000
           287               8.7500000               4.8437500             -10.0000000
           288              10.0000000               5.0000000             -10.0000000
           289               0.0000000               2.5000000             -10.0000000
           290               1.2500000               2.8125000             -10.0000000
           291               2.5000000               3.1250000             -10.0000000
           292               3.7500000               3.4375000             -10.0000000
           293               5.0000000               3.7500000             -10.0000000
           294               6.2500000               4.0625000             -10.0000000
           295               7.5000000               4.3750000             -10.0000000
           296               8.7500000               4.6875000             -10.0000000
           297              10.0000000               5.0000000             -10.0000000
           298               0.0000000               1.2500000             -10.0000000
           299               1.2500000               1.7187500             -10.0000000
           300               2.5000000               2.1875000             -10.0000000
           301               3.7500000               2.6562500             -10.0000000
           302               5.0000000               3.1250000             -10.0000000
           303               6.2500000               3.5937500             -10.0000000
           304               7.5000000               4.0625000             -10.0000000
           305               8.7500000               4.5312500             -10.0000000
           306              10.0000000               5.0000000             -10.0000000
           307               0.0000000               0.0000000             -10.0000000
           308               1.2500000               0.6250000             -10.0000000
           309               2.5000000               1.2500000             -10.0000000
           310               3.7500000               1.8750000             -10.0000000
           311               5.0000000               2.5000000             -10.0000000
           312               6.2500000               3.1250000             -10.0000000
           313               7.5000000               3.7500000             -10.0000000
           314               8.7500000               4.3750000             -10.0000000
           315              10.0000000               5.0000000             -10.0000000
           316               0.0000000              -1.2500000             -10.0000000
           317               1.2500000              -0.4687500             -10.0000000
           318               2.5000000               0.3125000             -10.0000000
           319               3.7500000               1.0937500             -10.0000000
           320               5.0000000               1.8750000             -10.0000000
           321               6.2500000               2.6562500             -10.0000000
           322               7.5000000               3.4375000             -10.0000000
           323               8.7500000               4.2187500             -10.0000000
           324              10.0000000               5.0000000             -10.0000000
           325               0.0000000              -2.5000000             -10.0000000
           326               1.2500000              -1.5625000             -10.0000000
           327               2.5000000              -0.6250000             -10.0000000
           328               3.7500000               0.3125000             -10.0000000
           329               5.0000000               1.2500000             -10.0000000
           330               6.2500000               2.1875000             -10.0000000
           331               7.5000000               3.1250000             -10.0000000
           332               8.7500000               4.0625000             -10.0000000
           333              10.0000000               5.0000000             -10.0000000
           334               0.0000000              -3.7500000             -10.0000000
           335               1.2500000              -2.6562500             -10.0000000
           336               2.5000000              -1.5625000             -10.0000000
           337               3.7500000              -0.4687500             -10.0000000
           338               5.0000000               0.6250000             -10.0000000
           339               6.2500000               1.7187500             -10.0000000
           340               7.5000000               2.8125000             -10.0000000
           341               8.7500000               3.9062500             -10.0000000
           342              10.0000000               5.0000000             -10.0000000
           343               0.0000000              -5.0000000             -10.0000000
           344               1.2500000              -3.7500000             -10.0000000
           345               2.5000000              -2.5000000             -10.0000000
           346               3.7500000              -1.2500000             -10.0000000
           347               5.0000000               0.0000000             -10.0000000
           348               6.2500000               1.2500000             -10.0000000
           349               7.5000000               2.5000000             -10.0000000
           350               8.7500000               3.7500000             -10.0000000
           351              10.0000000               5.0000000             -10.0000000
